"filename", "language", "vue", "JavaScript", "comment", "blank", "total"
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\detail\detail.vue", "vue", 132, 0, 8, 12, 152
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\feedback\feedback.vue", "vue", 48, 0, 0, 5, 53
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\login\login.vue", "vue", 201, 0, 5, 12, 218
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\searchPage\searchPage.vue", "vue", 110, 0, 0, 7, 117
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\tabbar-3-detial\tabbar-3-qa\tabbar-3-qa.vue", "vue", 19, 0, 0, 3, 22
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\tabbar-3-detial\tabbar-3-release\tabbar-3-release.vue", "vue", 25, 0, 0, 5, 30
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\tabbar-3-detial\tabbar-3-video\tabbar-3-video.vue", "vue", 25, 0, 0, 5, 30
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\tabbar\NFT\NFT.vue", "vue", 112, 0, 1, 9, 122
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\tabbar\NFT\importTest.js", "JavaScript", 0, 7, 0, 2, 9
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\tabbar\NFT\test.js", "JavaScript", 0, 8, 0, 3, 11
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\tabbar\goods\goods.vue", "vue", 243, 0, 28, 34, 305
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\tabbar\index\index.vue", "vue", 55, 0, 0, 3, 58
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\tabbar\profile\profile.vue", "vue", 81, 0, 0, 6, 87
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\tabbar\publish\publish.vue", "vue", 172, 0, 2, 7, 181
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\tabbar\testPage\testPage.vue", "vue", 79, 0, 6, 6, 91
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\test\showData\showData.vue", "vue", 27, 0, 0, 5, 32
"c:\Users\64170\Documents\HBuilderProjects\vue2\pages\verify\verify.vue", "vue", 314, 0, 0, 13, 327
"Total", "-", 1643, 15, 50, 137, 1845